index,Length,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,clust1,clust2,clust3
187,175319,0.0264,0.807,0.481,1.28E-06,0.112,-7.362,0.0713,91.005,0.748,0,0,0
188,314853,0.0771,0.552,0.745,0.000141,0.196,-4.814,0.0441,116.091,0.154,0,0,0
189,151444,0.0468,0.334,0.599,0.000392,0.205,-5.742,0.0365,161.74,0.127,0,0,0
190,147828,0.159,0.694,0.475,3.90E-06,0.103,-7.035,0.0345,94.987,0.391,0,0,0
191,227160,0.00506,0.542,0.795,0.019,0.0851,-3.63,0.0368,92.234,0.431,0,0,0
192,135581,0.061,0.74,0.688,0,0.138,-4.361,0.0916,115.035,0.935,0,0,0
193,175643,0.00197,0.544,0.732,5.06E-05,0.486,-5.984,0.0524,124.875,0.45,0,0,0
194,231600,0.0301,0.606,0.62,0.0916,0.167,-5.005,0.0298,88.984,0.543,0,0,0
195,244973,0.591,0.864,0.495,0.000133,0.0992,-7.036,0.037,129.062,0.72,1,0,1
196,266600,0.0206,0.457,0.757,0,0.146,-5.177,0.032,102.961,0.417,0,0,0
197,248826,0.634,0.521,0.277,7.07E-05,0.103,-10.34,0.0356,115.01,0.13,1,0,1
198,242265,0.917,0.38,0.219,0.0104,0.0827,-13.273,0.0358,73.537,0.0517,1,0,1
199,143746,0.0311,0.672,0.526,1.37E-06,0.28,-6.446,0.0599,123.999,0.28,0,0,0
200,171880,0.013,0.612,0.824,0,0.288,-4.758,0.0478,82.017,0.586,0,0,0
201,168398,0.00213,0.374,0.83,0,0.15,-5.203,0.0584,90.19,0.204,0,0,0
202,168020,0.835,0.594,0.612,0,0.461,-6.627,0.363,179.629,0.687,1,1,1
203,195717,0.00139,0.516,0.85,0,0.296,-3.909,0.0706,120.324,0.583,0,0,0
204,244004,0.148,0.626,0.56,1.51E-05,0.109,-5.82,0.0288,93.989,0.229,0,0,0
205,271176,0.877,0.334,0.276,0.000249,0.113,-13.125,0.0643,201.025,0.429,1,0,1
206,266933,0.0125,0.553,0.807,0.00222,0.302,-5.805,0.0428,151.916,0.575,0,0,0
207,216864,0.664,0.508,0.404,0,0.104,-11.092,0.0788,81.713,0.129,1,0,1
208,158536,0.385,0.53,0.593,0,0.314,-7.286,0.0545,125.723,0.538,1,0,1
209,213842,0.057,0.695,0.656,0,0.267,-6.038,0.0489,90.986,0.346,0,0,0
210,188779,0.00581,0.517,0.848,0,0.214,-4.054,0.0521,95.906,0.429,0,0,0
211,188504,0.226,0.761,0.554,0.00023,0.181,-4.583,0.0432,145.013,0.381,0,0,0
212,341255,0.00875,0.337,0.847,0.00114,0.147,-3.689,0.0459,139.061,0.235,0,0,0
213,208599,0.0328,0.619,0.736,0,0.0864,-7.651,0.0425,93.993,0.299,0,0,0
214,181210,0.88,0.538,0.318,7.28E-05,0.116,-13.036,0.0417,144.988,0.0897,1,0,1
215,176413,0.00397,0.523,0.702,0.0325,0.063,-6.74,0.0462,179.992,0.494,0,0,0
216,266432,0.948,0.473,0.128,5.36E-05,0.101,-12.303,0.0365,93.95,0.0897,1,0,1
217,108800,0.0125,0.883,0.713,0,0.45,-4.684,0.307,89.025,0.855,3,1,0
218,162794,0.789,0.668,0.392,0.00275,0.345,-12.178,0.0585,135.936,0.323,1,0,1
219,228922,0.791,0.739,0.491,0.0366,0.1,-11.515,0.027,111.008,0.707,1,0,1
220,297933,0.00438,0.48,0.87,0.00603,0.0826,-4.792,0.0362,161.953,0.584,0,0,0
221,209970,0.21,0.75,0.829,0,0.279,-4.942,0.0915,115.894,0.87,0,0,0
222,170023,0.371,0.661,0.618,0.000222,0.114,-5.023,0.167,75.029,0.523,1,0,1
223,177221,0.191,0.562,0.82,0,0.326,-4.253,0.0911,107.953,0.266,0,0,0
224,177366,0.331,0.489,0.816,0.148,0.0876,-7.681,0.0338,74.017,0.64,1,0,1
225,175608,0.298,0.694,0.637,9.69E-06,0.123,-5.896,0.0806,83.982,0.506,0,0,0
226,183012,0.58,0.559,0.655,0.000155,0.124,-6.792,0.051,160.016,0.667,1,0,1
227,221933,0.499,0.766,0.605,1.03E-06,0.0977,-6.127,0.113,122.804,0.608,1,0,1
228,156000,0.204,0.632,0.644,0,0.0962,-2.526,0.0302,97.054,0.369,0,0,0
229,149538,0.247,0.665,0.684,0,0.0636,-7.049,0.106,73.986,0.927,0,0,0
230,116550,0.0628,0.488,0.755,0,0.108,-5.275,0.117,182.244,0.588,0,0,0
231,180667,0.012,0.813,0.774,4.53E-06,0.0616,-3.923,0.0341,105.997,0.909,0,0,0
232,200292,0.435,0.891,0.627,0,0.266,-8.458,0.0566,136.024,0.922,1,0,1
233,183880,0.395,0.677,0.826,0,0.571,-6.8,0.368,124.821,0.498,3,1,1
234,121358,0.394,0.7,0.64,0,0.352,-5.53,0.209,177.854,0.742,1,1,1
235,252355,0.115,0.491,0.564,0,0.0587,-6.336,0.0264,65,0.404,0,0,0
236,361009,0.00295,0.571,0.779,0.000208,0.183,-3.517,0.0348,75.953,0.545,0,0,0
237,240413,0.452,0.638,0.538,0.000415,0.0695,-8.445,0.0315,89.124,0.318,1,0,1
238,180800,0.807,0.669,0.552,0.000874,0.321,-7.98,0.0587,100.102,0.488,1,0,1
239,175026,0.101,0.689,0.592,0.00867,0.11,-6.758,0.0235,98.997,0.919,0,0,0
240,171333,0.000602,0.359,0.706,0,0.285,-6.151,0.0309,174.079,0.479,0,0,0
241,167480,0.639,0.586,0.559,0,0.0872,-6.725,0.05,177.945,0.437,1,0,1
242,164677,0.137,0.585,0.861,0,0.0901,-4.189,0.0649,160.076,0.963,0,0,0
243,206853,0.0361,0.55,0.683,1.75E-06,0.334,-6.914,0.0362,87.053,0.24,0,0,0
244,153253,0.178,0.611,0.846,0,0.12,-3.548,0.0374,129.961,0.544,0,0,0
245,232533,0.191,0.487,0.65,0,0.0933,-5.195,0.0253,151.964,0.456,0,0,0
246,213493,0.268,0.602,0.477,3.10E-05,0.173,-8.425,0.032,183.89,0.552,0,0,1
247,200373,0.358,0.533,0.609,0,0.105,-5.447,0.0379,94.22,0.415,1,0,1
248,174837,0.418,0.469,0.673,1.41E-05,0.119,-8.015,0.0337,175.954,0.578,1,0,1
249,197333,0.00047,0.435,0.811,0,0.163,-5.594,0.0357,152.041,0.174,0,0,0
250,221240,0.227,0.467,0.481,0.000189,0.11,-6.947,0.0255,147.886,0.248,0,0,0
251,228440,0.0649,0.494,0.771,0,0.11,-4.309,0.0626,136.053,0.371,0,0,0
252,309853,0.0519,0.555,0.505,0.00361,0.148,-7.334,0.0333,117.481,0.293,0,0,0
253,174146,0.000689,0.464,0.783,0.00016,0.323,-6.108,0.0378,170.029,0.734,0,0,0
254,176087,0.287,0.633,0.641,0,0.0959,-7.946,0.0601,107.167,0.187,0,0,1
255,161853,0.114,0.649,0.76,0,0.317,-6.487,0.0574,80.018,0.843,0,0,0
256,258799,0.0352,0.653,0.927,4.47E-05,0.0966,-4.699,0.0289,119.97,0.894,0,0,0
257,198324,0.00036,0.473,0.802,0,0.304,-4.497,0.037,145.983,0.453,0,0,0
258,285106,0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,0.473,0,0,0
259,181200,0.06,0.637,0.932,3.23E-06,0.138,-3.545,0.0354,95.511,0.771,0,0,0
260,179720,0.0206,0.641,0.78,0,0.143,-5.138,0.0852,98.004,0.693,0,0,0
261,167678,0.0931,0.567,0.868,0,0.0986,-4.699,0.0605,154.07,0.517,0,0,0
262,172866,0.0389,0.638,0.748,0,0.134,-5.072,0.0312,105.004,0.669,0,0,0
263,144893,0.0863,0.504,0.549,0,0.111,-9.109,0.165,93.723,0.305,0,0,0
264,174680,0.182,0.59,0.846,0,0.53,-4.251,0.0396,146.028,0.733,0,0,0
265,210772,0.0951,0.466,0.536,0,0.114,-6.227,0.0429,75.998,0.377,0,0,0
266,241899,0.442,0.409,0.503,0,0.0867,-6.859,0.0424,73.104,0.193,1,0,1
267,181183,0.717,0.66,0.599,0,0.13,-5.924,0.0333,144.048,0.47,1,0,1
268,182930,0.00276,0.605,0.786,0,0.347,-4.138,0.0379,116.995,0.512,0,0,0
269,217680,0.0821,0.51,0.644,0,0.191,-5.567,0.0341,76.001,0.293,0,0,0
270,177880,0.106,0.483,0.802,0,0.345,-4.394,0.0532,160.073,0.36,0,0,0
271,210251,0.0282,0.523,0.763,0,0.144,-4.701,0.0382,162.075,0.652,0,0,0
272,188706,0.161,0.467,0.772,0,0.0816,-3.39,0.0439,155.928,0.489,0,0,0
273,159320,0.872,0.591,0.229,0,0.258,-11.205,0.0322,137.903,0.243,1,0,1
274,182080,0.27,0.628,0.675,1.46E-06,0.133,-3.534,0.0598,130.159,0.655,0,0,0
275,207973,0.723,0.596,0.679,0,0.116,-6.395,0.0394,131.912,0.479,1,0,1
276,197093,0.104,0.589,0.702,0,0.0731,-4.408,0.0285,155.999,0.77,0,0,0
277,208066,0.071,0.548,0.547,7.64E-05,0.331,-7.647,0.026,109.898,0.51,0,0,0
